Action,Price,Shares Held,Balance,Portfolio Value,Transaction Cost
Hold,192.15,0.0,10000000.0,10000000.0,0.0
Hold,192.15,0.0,10000000.0,10000000.0,0.0
Hold,192.15,0.0,10000000.0,10000000.0,0.0
Hold,192.155,0.0,10000000.0,10000000.0,0.0
Hold,192.16,0.0,10000000.0,10000000.0,0.0
Hold,192.16,0.0,10000000.0,10000000.0,0.0
Buy,192.16,52039.0,-9814.054239999503,9990000.18576,9999.81424
Buy,192.16,51987.0,188.2580800004962,9990010.17808,-9.99232
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.165,51987.0,188.2580800004962,9990270.11308,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.175,51987.0,188.2580800004962,9990789.983080002,0.0
Buy,192.175,51987.0,188.2580800004962,9990789.983080002,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Hold,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Hold,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.16,51987.0,188.2580800004962,9990010.17808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.17,51987.0,188.2580800004962,9990530.04808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.18,51987.0,188.2580800004962,9991049.91808,0.0
Buy,192.19,51987.0,188.2580800004962,9991569.78808,0.0
Buy,192.19,51987.0,188.2580800004962,9991569.78808,0.0
Buy,192.195,51987.0,188.2580800004962,9991829.72308,0.0
Buy,192.2,51987.0,188.2580800004962,9992089.658079999,0.0
Buy,192.2,51987.0,188.2580800004962,9992089.658079999,0.0
Buy,192.2,51987.0,188.2580800004962,9992089.658079999,0.0
Buy,192.2,51987.0,188.2580800004962,9992089.658079999,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.215,51987.0,188.2580800004962,9992869.46308,0.0
Buy,192.215,51987.0,188.2580800004962,9992869.46308,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.21,51987.0,188.2580800004962,9992609.52808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
Buy,192.22,51987.0,188.2580800004962,9993129.39808,0.0
