step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
16,2023-07-03 08:00:47.317729998,1,194.1,126.0,-0.09678041803554471,0.08031621803554471,0.0,0.0164642
19,2023-07-03 08:00:59.762541862,2,194.12,82.0,-0.19603612322317263,0.17959252322317262,0.0,0.0164436
20,2023-07-03 08:00:59.998480243,2,194.12,44.0,-0.08323204241218188,0.056792142412190966,0.009999999999990905,0.0164399
63,2023-07-03 08:03:01.173535444,1,194.2,176.0,-0.05235370464463453,0.03591850464463453,0.0,0.0164352
72,2023-07-03 08:03:30.071432879,2,194.15,176.0,-0.25626792322317493,0.17959252322317262,0.060000000000002274,0.0166754
85,2023-07-03 08:04:20.682195881,1,194.18,115.0,-0.16699161803553791,0.08031621803554471,0.06999999999999318,0.0166754
89,2023-07-03 08:04:22.775930851,2,194.25,115.0,-0.15321794241217507,0.056792142412190966,0.07999999999998408,0.0164258
96,2023-07-03 08:04:54.138834554,1,194.15,142.0,-0.16238360464461976,0.03591850464463453,0.10999999999998522,0.0164651
112,2023-07-03 08:05:28.625249690,2,194.15,142.0,-0.25849890928925656,0.07183700928926906,0.1699999999999875,0.0166619
172,2023-07-03 08:07:22.378410301,1,194.16,148.0,-0.28053288204300664,0.25398218204301576,0.009999999999990905,0.0165507
174,2023-07-03 08:07:23.809281857,2,194.16,148.0,-0.3204599820429987,0.25398218204301576,0.04999999999998295,0.0164778
220,2023-07-03 08:09:23.513596182,1,194.05,100.0,-0.18484697612859524,0.09836687612860205,0.06999999999999318,0.0164801
222,2023-07-03 08:09:29.194412216,2,194.0,84.0,-0.5822212416524071,0.4957534416524139,0.06999999999999318,0.0164678
223,2023-07-03 08:09:44.674267162,2,194.0,16.0,-0.49754065573566464,0.4507736557356635,0.030000000000001137,0.016767
224,2023-07-03 08:09:44.674267162,1,194.0,200.0,-0.1139643691127366,0.06719736911273545,0.030000000000001137,0.016767
228,2023-07-03 08:09:44.674267162,1,194.0,237.0,-0.30111378204301686,0.25398218204301576,0.030000000000001137,0.0171316
232,2023-07-03 08:09:44.674366528,2,194.0,223.0,-0.27231290125323754,0.2257443012532364,0.030000000000001137,0.0165686
233,2023-07-03 08:09:44.674366528,2,194.0,97.0,-0.14160003075502253,0.09503143075502138,0.030000000000001137,0.0165686
234,2023-07-03 08:09:44.674366528,1,194.0,250.0,-0.07196681820430272,0.025398218204301576,0.030000000000001137,0.0165686
237,2023-07-03 08:09:57.033173375,2,193.98,111.0,-0.09195301820431295,0.025398218204301576,0.05000000000001137,0.0165548
240,2023-07-03 08:09:58.485383307,2,193.98,199.0,-0.0933133424122012,0.056792142412190966,0.020000000000010232,0.0165212
