Action,Price,Shares Held,Balance,Portfolio Value,Transaction Cost,Reward,Slippage,Time Penalty
Buy,194.01,138.22628009692875,9971954.761602176,9998772.042203782,0.08031697153504797,-0.39931997153505366,0.15000000000000568,0.169003
Buy,194.01,336.7155261669724,9932943.865603073,9998270.044834727,0.18315087432529734,-0.502153874325303,0.15000000000000568,0.169003
Buy,193.97,432.23242399425885,9913498.517692376,9997338.640974542,0.06221325863461118,-0.28822525863461346,0.060000000000002274,0.166012
Buy,193.97,550.8575892216458,9891563.2713937,9998413.117975023,0.035918841619856576,-0.26193084161985886,0.060000000000002274,0.166012
Buy,193.96,771.8910068820461,9847738.969247926,9997454.948942767,0.025398456481766182,-0.2351894564817582,0.03999999999999204,0.169791
Buy,193.96,938.3432828037112,9813994.036082404,9995995.099215012,0.025398456481766182,-0.2351894564817582,0.03999999999999204,0.169791
Buy,193.96,1123.7145011966286,9777275.16735614,9995230.832008239,0.09157543716264867,-0.3013664371626407,0.03999999999999204,0.169791
Buy,193.94,1360.99184275568,9730498.573509308,9994449.331493344,0.025398456481766182,-0.21087445648177644,0.020000000000010232,0.165476
Buy,193.94,1480.9735041174372,9707016.152780777,9994236.154169312,0.12442651726922235,-0.29150751726922236,0.0,0.167081
Sell,194.05,1296.8991391287361,9744233.002414415,9995896.280362345,0.025398456481766182,-0.19017445648176617,0.0,0.164776
Sell,194.05,1236.0682895520538,9755453.008950682,9995312.060538258,0.050796912963532365,-0.21523491296353237,0.0,0.164438
Sell,194.06,1058.843554288028,9788918.17000066,9994397.350145794,0.08031697153504797,-0.2577659715350389,0.009999999999990905,0.167449
Sell,194.07,872.4724110319744,9823522.84256905,9992843.563378025,0.08031697153504797,-0.24776597153504795,0.0,0.167449
Sell,194.07,744.7596931485394,9848697.63553962,9993233.149188956,0.17959420809928286,-0.3670432080992931,0.020000000000010232,0.167449
Sell,194.07,526.0982180123401,9892039.61118854,9994139.492358195,0.12180671823874051,-0.30925571823875075,0.020000000000010232,0.167449
Sell,194.09,390.86054368838455,9911925.594306039,9987787.717230517,0.10775652485956973,-0.2736645248595697,0.0,0.165908
Sell,194.09,329.0728426689273,9923669.91506298,9987539.663096594,0.11912932055726562,-0.33503732055724855,0.04999999999998295,0.165908
Sell,194.12,171.52774282296068,9953734.21943097,9987031.184867764,0.08031697153504797,-0.28665997153503997,0.03999999999999204,0.166343
Sell,194.13,0.0,9986290.274781449,9986290.274781449,0.17959420809928286,-0.375937208099284,0.030000000000001137,0.166343
Buy,194.01,105.91361086167133,9965896.067666112,9986444.367309384,0.08031697153504797,-0.3413359715350514,0.09000000000000341,0.171019
Buy,193.99,272.2270815555617,9933500.080059007,9986309.41160997,0.025398456481766182,-0.22019645648176733,0.030000000000001137,0.164798
Buy,193.97,510.29461195993036,9886343.176934224,9985325.022816092,0.025398456481766182,-0.24386045648177757,0.05000000000001137,0.168462
Buy,193.97,640.5093283512225,9860131.748673938,9984371.343094224,0.025398456481766182,-0.24386045648177757,0.05000000000001137,0.168462
Buy,193.96,899.7370862049127,9811156.669158874,9985669.674399178,0.025398456481766182,-0.25386045648176847,0.060000000000002274,0.168462
Buy,193.95,1147.3546770404319,9765256.847291354,9987786.286903346,0.05679267521679932,-0.2952546752168209,0.0700000000000216,0.168462
Buy,193.95,1336.198812395582,9728226.81880329,9987382.578467414,0.025398456481766182,-0.2638604564817878,0.0700000000000216,0.168462
Buy,193.93,1401.606591058691,9716096.066248572,9987909.632452583,0.025398456481766182,-0.2758654564817503,0.07999999999998408,0.170467
Buy,193.93,1460.8617107806547,9704056.235072708,9987361.1466444,0.025398456481766182,-0.2758654564817503,0.07999999999998408,0.170467
Buy,193.91,1544.0678161566584,9688207.81616825,9987618.006399188,0.0439914170602461,-0.31445841706024047,0.09999999999999432,0.170467
Buy,193.91,1722.600094987573,9651957.595467865,9985986.979886906,0.025398456481766182,-0.29586545648176055,0.09999999999999432,0.170467
Buy,193.91,1906.4993703385337,9614722.120317977,9984411.413220322,0.17959420809928286,-0.4500612080992772,0.09999999999999432,0.170467
Buy,193.91,1968.6161808699915,9602196.268994238,9983930.632626738,0.0879828341204922,-0.35844983412048653,0.09999999999999432,0.170467
Buy,193.85,2152.799472865871,9563799.121489208,9981119.299304258,0.0439914170602461,-0.24847841706023813,0.03999999999999204,0.164487
Buy,193.85,2235.17714444943,9547773.095534734,9981062.184986256,0.025398456481766182,-0.22980845648175824,0.03999999999999204,0.16441
Buy,193.85,2468.130902138994,9501559.401909491,9980006.577289134,0.035918841619856576,-0.24111584161984861,0.03999999999999204,0.165197
Buy,193.77,2669.485347856121,9464215.636312334,9981481.812166415,0.025398456481766182,-0.2530304564817685,0.060000000000002274,0.167632
Buy,193.77,2741.7203921050877,9450343.531074964,9981606.691453166,0.025398456481766182,-0.2530304564817685,0.060000000000002274,0.167632
Buy,193.76,2796.6939874296086,9439209.083902169,9981096.51090653,0.025398456481766182,-0.2630304564817878,0.0700000000000216,0.167632
Buy,193.74,2920.683433132906,9414964.814630812,9980818.02296598,0.050796912963532365,-0.3084289129635358,0.09000000000000341,0.167632
Buy,193.73,3032.7235306756475,9393543.04224179,9981072.571839582,0.2539845648176618,-0.4758485648176731,0.05000000000001137,0.171864
Buy,193.73,3186.516588267905,9363978.033969268,9981301.89261441,0.025398456481766182,-0.24726245648177753,0.05000000000001137,0.171864
Buy,193.73,3265.7660691778087,9349335.626007196,9982012.486589013,0.4219508493854504,-0.6438148493854617,0.05000000000001137,0.171864
Sell,193.82,3210.796223872126,9359939.13763767,9982255.661748564,0.050796912963532365,-0.2448719129635335,0.030000000000001137,0.164075
Sell,193.82,3115.4773901801364,9378455.138618499,9982296.966383213,0.06221325863461118,-0.2613462586346123,0.030000000000001137,0.169133
Sell,193.85,2992.060768661781,9401785.82899485,9981796.808999935,0.050796912963532365,-0.21992991296353237,0.0,0.169133
Sell,193.85,2839.6577414742,9431891.867049966,9982359.52023474,0.08031697153504797,-0.24944997153504797,0.0,0.169133
Sell,193.85,2696.2478752694246,9460233.139842017,9982900.790462995,0.14141262087006692,-0.31054562087006693,0.0,0.169133
Sell,193.86,2476.372978523672,9503332.365716834,9983402.031333433,0.17778919537236323,-0.35692219537235415,0.009999999999990905,0.169133
Sell,193.86,2305.782966099325,9535357.402587939,9982356.488395954,0.11070930512593437,-0.29604230512591617,0.01999999999998181,0.165333
Buy,193.79,2514.4091117082417,9493707.4234998,9980974.76525774,0.08031697153504797,-0.2786609715350491,0.030000000000001137,0.168344
Buy,193.79,2729.8916648747827,9453237.194923935,9982262.90066002,0.050796912963532365,-0.2491409129635335,0.030000000000001137,0.168344
Buy,193.79,2942.4701982404936,9410843.91448228,9981065.214199306,0.025398456481766182,-0.21961745648176734,0.030000000000001137,0.164219
Buy,193.79,3038.633001187972,9392129.9782082,9980986.667508416,0.1436753664794263,-0.3389143664794274,0.030000000000001137,0.165239
Buy,193.78,3160.657170370241,9369359.622319557,9981831.768793901,0.050796912963532365,-0.21527191296353237,0.0,0.164475
Buy,193.78,3399.8823582956597,9323501.876502326,9982331.079892859,0.17226071292138506,-0.33677471292138506,0.0,0.164514
Buy,193.76,3588.105706138509,9286530.140314082,9981761.501935478,0.06221325863461118,-0.26930225863463164,0.040000000000020464,0.167089
Buy,193.75,3760.088010795704,9252903.574191382,9981420.62628305,0.035918841619856576,-0.25300784161986795,0.05000000000001137,0.167089
Buy,193.75,3883.845763161265,9230006.315732233,9982501.43234473,0.17959420809928286,-0.39668320809929425,0.05000000000001137,0.167089
Buy,193.75,4008.041415413499,9204933.580997221,9981491.605233587,0.2539845648176618,-0.4185805648176618,0.0,0.164596
Buy,193.74,4203.718988169562,9167981.36619637,9982409.882964341,0.439914170602461,-0.6662831706024632,0.060000000000002274,0.166369
Buy,193.74,4265.073105586194,9156493.835827045,9982809.099303314,0.08031697153504797,-0.30668597153505023,0.060000000000002274,0.166369
Buy,193.74,4381.429057840709,9134714.50649492,9983572.57216098,0.08031697153504797,-0.30668597153505023,0.060000000000002274,0.166369
Buy,193.73,4592.342854039038,9092350.657061955,9982025.238174938,0.09836779897325425,-0.2629577989732542,0.0,0.16459
Buy,193.73,4732.029325307362,9066311.572039831,9983047.613231627,0.2539845648176618,-0.41833956481766177,0.0,0.164355
Buy,193.73,4921.319009740593,9029405.068679886,9982812.200436931,0.5547106626161005,-0.7196106626161005,0.0,0.1649
Buy,193.73,4976.70209088089,9019167.660662645,9983304.156729,0.07183768323971315,-0.3045166832397154,0.060000000000002274,0.172679
Buy,193.73,5181.942072990755,8978919.718387736,9982817.356188236,0.06719799953564982,-0.2998769995356521,0.060000000000002274,0.172679
Buy,193.73,5238.093594885284,8967979.906404551,9982755.778541677,0.025398456481766182,-0.25807745648176844,0.060000000000002274,0.172679
Buy,193.73,5316.200207695494,8953586.746274384,9983494.212511232,0.025398456481766182,-0.25807745648176844,0.060000000000002274,0.172679
Buy,193.72,5414.852755749952,8934074.3496631,9983039.62550698,0.1163903493627353,-0.3590693493627285,0.06999999999999318,0.172679
Buy,193.72,5643.977434616001,8891819.259764282,9985170.568398094,0.19508924600734417,-0.43375824600733737,0.06999999999999318,0.168669
Buy,193.72,5856.2124495968455,8849630.530989865,9984096.006725766,0.08031697153504797,-0.31898597153504116,0.06999999999999318,0.168669
